iter	Passed	Remaining
668	44038	8623
669	44114	8559
670	44186	8494
671	44236	8426
672	44291	8358
673	44339	8289
674	44385	8219
675	44435	8150
676	44485	8082
677	44543	8015
678	44610	7949
679	44685	7885
680	44750	7819
681	44798	7751
682	44860	7684
683	44914	7617
684	44963	7548
685	45020	7481
686	45074	7413
687	45133	7347
688	45200	7281
689	45261	7215
690	45321	7149
691	45378	7082
692	45435	7015
693	45494	6948
694	45561	6883
695	45673	6824
696	45785	6765
697	45866	6702
698	45936	6637
699	46011	6573
700	46076	6507
701	46131	6439
702	46189	6373
703	46250	6306
704	46310	6240
705	46368	6173
706	46433	6107
707	46490	6041
708	46555	5975
709	46668	5915
710	46749	5851
711	46825	5787
712	46891	5721
713	46957	5655
714	47030	5591
715	47095	5525
716	47152	5458
717	47204	5391
718	47255	5323
719	47303	5255
720	47349	5188
721	47400	5120
722	47454	5053
723	47505	4986
724	47564	4920
725	47620	4853
726	47688	4788
727	47766	4724
728	47833	4658
729	47883	4591
730	47934	4524
731	47996	4458
732	48048	4391
733	48108	4325
734	48163	4259
735	48212	4192
736	48262	4125
737	48307	4058
738	48363	3992
739	48418	3925
740	48472	3859
741	48546	3794
742	48630	3730
743	48699	3665
744	48750	3599
745	48792	3531
746	48846	3465
747	48889	3398
748	48933	3331
749	48978	3265
750	49024	3198
751	49068	3132
752	49118	3065
753	49194	3001
754	49260	2936
755	49315	2870
756	49371	2804
757	49419	2738
758	49476	2672
759	49534	2607
760	49597	2541
761	49670	2476
762	49733	2411
763	49787	2346
764	49860	2281
765	49918	2215
766	49977	2150
767	50027	2084
768	50087	2019
769	50148	1953
770	50208	1888
771	50271	1823
772	50331	1758
773	50397	1692
774	50454	1627
775	50523	1562
776	50580	1497
777	50658	1432
778	50713	1367
779	50770	1301
780	50834	1236
781	50887	1171
782	50961	1106
783	51017	1041
784	51072	975
785	51134	910
786	51203	845
787	51269	780
788	51320	715
789	51400	650
790	51458	585
791	51531	520
792	51600	455
793	51666	390
794	51716	325
795	51777	260
796	51838	195
797	51904	130
798	51956	65
799	52010	0
83663	845
792	83733	739
793	83798	633
794	83864	527
795	83927	421
796	83994	316
797	84057	210
798	84119	105
799	84183	0
07
796	81287	305
797	81408	204
798	81535	102
799	81671	0
